,net_acc_mean,net_acc_std,net_acc_min,net_acc_max,EDA_phasic_mean,EDA_phasic_std,EDA_phasic_min,EDA_phasic_max,EDA_smna_mean,EDA_smna_std,EDA_smna_min,EDA_smna_max,EDA_tonic_mean,EDA_tonic_std,EDA_tonic_min,EDA_tonic_max,BVP_mean,BVP_std,BVP_min,BVP_max,TEMP_mean,TEMP_std,TEMP_min,TEMP_max,ACC_x_mean,ACC_x_std,ACC_x_min,ACC_x_max,ACC_y_mean,ACC_y_std,ACC_y_min,ACC_y_max,ACC_z_mean,ACC_z_std,ACC_z_min,ACC_z_max,Resp_mean,Resp_std,Resp_min,Resp_max,0_mean,0_std,0_min,0_max,BVP_peak_freq,TEMP_slope,subject,label
0,0.6095286443352445,0.1414808818605863,-358.13,554.77,0.6095286443352445,1.0891305647112568,-358.13,554.77,0.6095286443352445,1.952141192902615,-358.13,554.77,0.6095286443352445,0.997229658754446,-358.13,554.77,0.6095286443352445,107.64835923262396,-358.13,554.77,0.6095286443352445,0.012673914122067,-358.13,554.77,0.6095286443352445,8.936755836823402e-06,-358.13,554.77,0.6095286443352445,0.0170429012688723,-358.13,554.77,0.6095286443352445,7.668171434410958e-06,-358.13,554.77,0.6095286443352445,2.935616812231692,-358.13,554.77,0.6095286443352445,0.0094382051967648,-358.13,554.77,0.1356698699830412,-0.0001690598020873,2,1
1,0.5380076401563225,0.0918824291852691,-392.28,438.16,0.5380076401563225,1.223622912410003,-392.28,438.16,0.5380076401563225,2.854161598737252,-392.28,438.16,0.5380076401563225,1.172302871545065,-392.28,438.16,0.5380076401563225,118.74208943778432,-392.28,438.16,0.5380076401563225,0.0299012252668947,-392.28,438.16,0.5380076401563225,1.6692763785165907e-05,-392.28,438.16,0.5380076401563225,0.0158999798692707,-392.28,438.16,0.5380076401563225,1.4323203716873396e-05,-392.28,438.16,0.5380076401563225,2.843123179252526,-392.28,438.16,0.5380076401563225,0.0157680209433856,-392.28,438.16,0.0950226244343891,-0.0007886977886977,2,1
2,0.5747838339037633,0.1023148719114587,-240.61,209.89,0.5747838339037633,0.1291213133477607,-240.61,209.89,0.5747838339037633,0.245284037277883,-240.61,209.89,0.5747838339037633,0.2933604090662106,-240.61,209.89,0.5747838339037633,42.19003939297984,-240.61,209.89,0.5747838339037633,0.0276124298277377,-240.61,209.89,0.5747838339037633,8.848246223910827e-06,-240.61,209.89,0.5747838339037633,0.0139390112213381,-240.61,209.89,0.5747838339037633,7.592225879021563e-06,-240.61,209.89,0.5747838339037633,1.7003326185446708,-240.61,209.89,0.5747838339037633,0.0128524689120526,-240.61,209.89,0.07687959299039,-0.0007169938913058,2,1
3,0.5908804784227776,0.0463910931433054,-289.26,145.36,0.5908804784227776,0.1265638592130099,-289.26,145.36,0.5908804784227776,0.2010345776756434,-289.26,145.36,0.5908804784227776,0.042448320670117,-289.26,145.36,0.5908804784227776,41.606871737522034,-289.26,145.36,0.5908804784227776,0.0195044524893722,-289.26,145.36,0.5908804784227776,2.5540598838306603e-06,-289.26,145.36,0.5908804784227776,0.0041462361554319,-289.26,145.36,0.5908804784227776,2.191507679136368e-06,-289.26,145.36,0.5908804784227776,1.4832603538809497,-289.26,145.36,0.5908804784227776,0.0041462224209575,-289.26,145.36,0.1402714932126696,7.528957528957787e-05,2,1
4,0.5674523707734064,0.0345395863627278,-197.37,194.12,0.5674523707734064,0.039666784902356,-197.37,194.12,0.5674523707734064,0.1150026709829432,-197.37,194.12,0.5674523707734064,0.0775775599964331,-197.37,194.12,0.5674523707734064,43.12163324147281,-197.37,194.12,0.5674523707734064,0.0193864568898976,-197.37,194.12,0.5674523707734064,3.511259000435795e-06,-197.37,194.12,0.5674523707734064,0.0032918578889557,-197.37,194.12,0.5674523707734064,3.0128311053343818e-06,-197.37,194.12,0.5674523707734064,1.5015851820283506,-197.37,194.12,0.5674523707734064,0.0032918476532208,-197.37,194.12,0.1493212669683258,0.0004417194508938,2,1
5,0.5765673742497414,0.0300528173683961,-367.11,363.29,0.5765673742497414,0.0519214455305028,-367.11,363.29,0.5765673742497414,0.112214081573814,-367.11,363.29,0.5765673742497414,0.1286928295327255,-367.11,363.29,0.5765673742497414,71.15496421548032,-367.11,363.29,0.5765673742497414,0.0224799597827727,-367.11,363.29,0.5765673742497414,7.077863431131691e-06,-367.11,363.29,0.5765673742497414,0.0093016139943112,-367.11,363.29,0.5765673742497414,6.07315128333616e-06,-367.11,363.29,0.5765673742497414,1.6758803859931255,-367.11,363.29,0.5765673742497414,0.0074178567574147,-367.11,363.29,0.0859242509892594,0.0005208845208845,2,1
6,0.5905438753485166,0.0185914450793576,-670.2,361.86,0.5905438753485166,0.1480373985564692,-670.2,361.86,0.5905438753485166,0.5938409876683868,-670.2,361.86,0.5905438753485166,0.1292676489074366,-670.2,361.86,0.5905438753485166,112.4464290503453,-670.2,361.86,0.5905438753485166,0.018942278568201,-670.2,361.86,0.5905438753485166,9.185015320045484e-06,-670.2,361.86,0.5905438753485166,0.0128394045384727,-670.2,361.86,0.5905438753485166,7.88119015309645e-06,-670.2,361.86,0.5905438753485166,2.194539389457545,-670.2,361.86,0.5905438753485166,0.009883196283274,-670.2,361.86,0.1176470588235294,0.0002376755404278,2,1
7,0.5349034825014083,0.017300961607875,-182.86,182.92,0.5349034825014083,0.059792449966677,-182.86,182.92,0.5349034825014083,0.1760892942085434,-182.86,182.92,0.5349034825014083,0.0241798266576571,-182.86,182.92,0.5349034825014083,39.30585427347408,-182.86,182.92,0.5349034825014083,0.019670196907406,-182.86,182.92,0.5349034825014083,4.179138603464407e-06,-182.86,182.92,0.5349034825014083,0.0056795938439499,-182.86,182.92,0.5349034825014083,3.5859043085282324e-06,-182.86,182.92,0.5349034825014083,1.4989302452856454,-182.86,182.92,0.5349034825014083,0.0056795724952158,-182.86,182.92,0.1492368569813454,-0.0005075465075465,2,1
8,0.5447399362984456,0.0175550400598394,-120.43,139.13,0.5447399362984456,0.0123045557977883,-120.43,139.13,0.5447399362984456,0.0044309228385071,-120.43,139.13,0.5447399362984456,0.0471306669049397,-120.43,139.13,0.5447399362984456,24.48305855878849,-120.43,139.13,0.5447399362984456,0.0105642465791504,-120.43,139.13,0.5447399362984456,1.1506674041798484e-06,-120.43,139.13,0.5447399362984456,0.0017644336960773,-120.43,139.13,0.5447399362984456,9.873286324868495e-07,-120.43,139.13,0.5447399362984456,1.3436913900759766,-120.43,139.13,0.5447399362984456,0.001764427442117,-120.43,139.13,0.1538461538461538,-5.770574577900579e-06,2,1
9,0.5923661373807877,0.0170956218395455,-39.38,77.19,0.5923661373807877,0.0044450840697957,-39.38,77.19,0.5923661373807877,0.0133170149251572,-39.38,77.19,0.5923661373807877,0.054447393502378,-39.38,77.19,0.5923661373807877,16.889657960835994,-39.38,77.19,0.5923661373807877,0.0182818521493291,-39.38,77.19,0.5923661373807877,8.926300932327764e-07,-39.38,77.19,0.5923661373807877,0.0030507009745676,-39.38,77.19,0.5923661373807877,7.659200617543317e-07,-39.38,77.19,0.5923661373807877,1.4807783750036896,-39.38,77.19,0.5923661373807877,0.0029675203988681,-39.38,77.19,0.1537591859807801,0.000493330993331,2,1
