,net_acc_mean,net_acc_std,net_acc_min,net_acc_max,EDA_phasic_mean,EDA_phasic_std,EDA_phasic_min,EDA_phasic_max,EDA_smna_mean,EDA_smna_std,EDA_smna_min,EDA_smna_max,EDA_tonic_mean,EDA_tonic_std,EDA_tonic_min,EDA_tonic_max,BVP_mean,BVP_std,BVP_min,BVP_max,TEMP_mean,TEMP_std,TEMP_min,TEMP_max,ACC_x_mean,ACC_x_std,ACC_x_min,ACC_x_max,ACC_y_mean,ACC_y_std,ACC_y_min,ACC_y_max,ACC_z_mean,ACC_z_std,ACC_z_min,ACC_z_max,Resp_mean,Resp_std,Resp_min,Resp_max,0_mean,0_std,0_min,0_max,BVP_peak_freq,TEMP_slope,0,1,2
0,0.6095286443352445,0.1414808818605863,-358.13,554.77,0.6095286443352445,1.0891305647112568,-358.13,554.77,0.6095286443352445,1.952141192902615,-358.13,554.77,0.6095286443352445,0.997229658754446,-358.13,554.77,0.6095286443352445,107.64835923262397,-358.13,554.77,0.6095286443352445,0.012673914122067012,-358.13,554.77,0.6095286443352445,8.936755836823402e-06,-358.13,554.77,0.6095286443352445,0.017042901268872396,-358.13,554.77,0.6095286443352445,7.668171434410958e-06,-358.13,554.77,0.6095286443352445,2.935616812231692,-358.13,554.77,0.6095286443352445,0.009438205196764898,-358.13,554.77,0.13566986998304126,-0.00016905980208731803,False,True,False
0,0.5380076401563225,0.09188242918526915,-392.28,438.16,0.5380076401563225,1.223622912410003,-392.28,438.16,0.5380076401563225,2.854161598737252,-392.28,438.16,0.5380076401563225,1.172302871545065,-392.28,438.16,0.5380076401563225,118.74208943778433,-392.28,438.16,0.5380076401563225,0.029901225266894774,-392.28,438.16,0.5380076401563225,1.6692763785165907e-05,-392.28,438.16,0.5380076401563225,0.015899979869270782,-392.28,438.16,0.5380076401563225,1.4323203716873396e-05,-392.28,438.16,0.5380076401563225,2.843123179252526,-392.28,438.16,0.5380076401563225,0.015768020943385638,-392.28,438.16,0.09502262443438915,-0.00078869778869776,False,True,False
0,0.5747838339037633,0.10231487191145877,-240.61,209.89,0.5747838339037633,0.1291213133477607,-240.61,209.89,0.5747838339037633,0.245284037277883,-240.61,209.89,0.5747838339037633,0.2933604090662106,-240.61,209.89,0.5747838339037633,42.190039392979834,-240.61,209.89,0.5747838339037633,0.027612429827737723,-240.61,209.89,0.5747838339037633,8.848246223910827e-06,-240.61,209.89,0.5747838339037633,0.013939011221338117,-240.61,209.89,0.5747838339037633,7.592225879021563e-06,-240.61,209.89,0.5747838339037633,1.7003326185446708,-240.61,209.89,0.5747838339037633,0.01285246891205262,-240.61,209.89,0.07687959299039004,-0.0007169938913058141,False,True,False
0,0.5908804784227776,0.046391093143305494,-289.26,145.36,0.5908804784227776,0.12656385921300997,-289.26,145.36,0.5908804784227776,0.20103457767564348,-289.26,145.36,0.5908804784227776,0.042448320670117085,-289.26,145.36,0.5908804784227776,41.606871737522034,-289.26,145.36,0.5908804784227776,0.019504452489372284,-289.26,145.36,0.5908804784227776,2.5540598838306603e-06,-289.26,145.36,0.5908804784227776,0.004146236155431958,-289.26,145.36,0.5908804784227776,2.1915076791363678e-06,-289.26,145.36,0.5908804784227776,1.4832603538809495,-289.26,145.36,0.5908804784227776,0.004146222420957501,-289.26,145.36,0.14027149321266968,7.528957528957787e-05,False,True,False
0,0.5674523707734064,0.03453958636272787,-197.37,194.12,0.5674523707734064,0.03966678490235607,-197.37,194.12,0.5674523707734064,0.11500267098294327,-197.37,194.12,0.5674523707734064,0.07757755999643311,-197.37,194.12,0.5674523707734064,43.12163324147281,-197.37,194.12,0.5674523707734064,0.019386456889897655,-197.37,194.12,0.5674523707734064,3.511259000435795e-06,-197.37,194.12,0.5674523707734064,0.0032918578889557645,-197.37,194.12,0.5674523707734064,3.0128311053343818e-06,-197.37,194.12,0.5674523707734064,1.5015851820283506,-197.37,194.12,0.5674523707734064,0.003291847653220865,-197.37,194.12,0.14932126696832582,0.0004417194508938031,False,True,False
0,0.5765673742497414,0.030052817368396118,-367.11,363.29,0.5765673742497414,0.05192144553050283,-367.11,363.29,0.5765673742497414,0.11221408157381406,-367.11,363.29,0.5765673742497414,0.1286928295327255,-367.11,363.29,0.5765673742497414,71.15496421548032,-367.11,363.29,0.5765673742497414,0.022479959782772722,-367.11,363.29,0.5765673742497414,7.077863431131691e-06,-367.11,363.29,0.5765673742497414,0.009301613994311201,-367.11,363.29,0.5765673742497414,6.07315128333616e-06,-367.11,363.29,0.5765673742497414,1.6758803859931255,-367.11,363.29,0.5765673742497414,0.007417856757414726,-367.11,363.29,0.08592425098925946,0.0005208845208845139,False,True,False
0,0.5905438753485166,0.018591445079357678,-670.2,361.86,0.5905438753485166,0.14803739855646925,-670.2,361.86,0.5905438753485166,0.5938409876683868,-670.2,361.86,0.5905438753485166,0.12926764890743667,-670.2,361.86,0.5905438753485166,112.4464290503453,-670.2,361.86,0.5905438753485166,0.018942278568201024,-670.2,361.86,0.5905438753485166,9.185015320045484e-06,-670.2,361.86,0.5905438753485166,0.012839404538472732,-670.2,361.86,0.5905438753485166,7.88119015309645e-06,-670.2,361.86,0.5905438753485166,2.194539389457545,-670.2,361.86,0.5905438753485166,0.009883196283274076,-670.2,361.86,0.11764705882352942,0.00023767554042784746,False,True,False
0,0.5349034825014083,0.017300961607875073,-182.86,182.92,0.5349034825014083,0.059792449966677076,-182.86,182.92,0.5349034825014083,0.1760892942085434,-182.86,182.92,0.5349034825014083,0.024179826657657194,-182.86,182.92,0.5349034825014083,39.30585427347408,-182.86,182.92,0.5349034825014083,0.019670196907406016,-182.86,182.92,0.5349034825014083,4.179138603464407e-06,-182.86,182.92,0.5349034825014083,0.005679593843949949,-182.86,182.92,0.5349034825014083,3.5859043085282324e-06,-182.86,182.92,0.5349034825014083,1.4989302452856454,-182.86,182.92,0.5349034825014083,0.005679572495215856,-182.86,182.92,0.1492368569813454,-0.0005075465075465243,False,True,False
0,0.5447399362984456,0.017555040059839478,-120.43,139.13,0.5447399362984456,0.012304555797788315,-120.43,139.13,0.5447399362984456,0.004430922838507181,-120.43,139.13,0.5447399362984456,0.04713066690493974,-120.43,139.13,0.5447399362984456,24.48305855878849,-120.43,139.13,0.5447399362984456,0.010564246579150494,-120.43,139.13,0.5447399362984456,1.1506674041798484e-06,-120.43,139.13,0.5447399362984456,0.0017644336960773671,-120.43,139.13,0.5447399362984456,9.873286324868495e-07,-120.43,139.13,0.5447399362984456,1.3436913900759766,-120.43,139.13,0.5447399362984456,0.0017644274421170327,-120.43,139.13,0.15384615384615385,-5.770574577900579e-06,False,True,False
0,0.5923661373807877,0.017095621839545518,-39.38,77.19,0.5923661373807877,0.004445084069795708,-39.38,77.19,0.5923661373807877,0.013317014925157227,-39.38,77.19,0.5923661373807877,0.05444739350237803,-39.38,77.19,0.5923661373807877,16.889657960835994,-39.38,77.19,0.5923661373807877,0.01828185214932912,-39.38,77.19,0.5923661373807877,8.926300932327764e-07,-39.38,77.19,0.5923661373807877,0.0030507009745676175,-39.38,77.19,0.5923661373807877,7.659200617543317e-07,-39.38,77.19,0.5923661373807877,1.4807783750036896,-39.38,77.19,0.5923661373807877,0.002967520398868135,-39.38,77.19,0.1537591859807801,0.0004933309933310232,False,True,False
